Agro_ecology,Site,Month,Year,TempMaxi,TempMini,RHMaxi,RHMini,Rainfall,Attractant,Trap,B_dorsa
NGS,Papatia,December,2008,36.2,19.4,70.5,38,0,ME,1,109
NGS,Papatia,December,2008,36.2,19.4,70.5,38,0,ME,2,100
NGS,Natitingou,March,2008,38.9,22.9,69.5,29,27.8,ME,1,0
NGS,Natitingou,March,2008,38.9,22.9,69.5,29,27.8,ME,2,0
NGS,Natitingou,March,2008,38.9,22.9,69.5,29,27.8,ME,3,0
NGS,Papatia,March,2008,38.9,22.9,69.5,29,27.8,ME,1,0
NGS,Papatia,March,2008,38.9,22.9,69.5,29,27.8,ME,2,0
NGS,Natitingou,November,2005,36.5,19.2,69,23,0,ME,1,80
NGS,Natitingou,December,2009,37.8,18.2,69,32,0,ME,1,21
NGS,Natitingou,December,2009,37.8,18.2,69,32,0,ME,2,64
NGS,Natitingou,December,2009,37.8,18.2,69,32,0,ME,3,34
NGS,Papatia,December,2009,37.8,18.2,69,32,0,ME,1,33
NGS,Papatia,December,2009,37.8,18.2,69,32,0,ME,2,19
NGS,Papatia,December,2009,37.8,18.2,69,32,0,ME,3,27
NGS,Natitingou,February,2010,38.9,22.3,68,33,0,ME,1,0
NGS,Natitingou,February,2010,38.9,22.3,68,33,0,ME,2,0
NGS,Natitingou,February,2010,38.9,22.3,68,33,0,ME,3,2
NGS,Papatia,February,2010,38.9,22.3,68,33,0,ME,1,1
NGS,Papatia,February,2010,38.9,22.3,68,33,0,ME,2,0
NGS,Papatia,February,2010,38.9,22.3,68,33,0,ME,3,0
NGS,Natitingou,March,2010,32.3,25,66,35,0.2,ME,1,1
NGS,Natitingou,March,2010,32.3,25,66,35,0.2,ME,2,0
NGS,Natitingou,March,2010,32.3,25,66,35,0.2,ME,3,0
NGS,Ndali,December,2009,35,20.3,66,22,7,ME,1,130
NGS,Ndali,December,2009,35,20.3,66,22,7,ME,2,108
NGS,Ndali,December,2009,35,20.3,66,22,7,ME,3,214
NGS,Papatia,March,2010,32.3,25,66,35,0.2,ME,1,0
NGS,Papatia,March,2010,32.3,25,66,35,0.2,ME,2,1
NGS,Papatia,March,2010,32.3,25,66,35,0.2,ME,3,1
NGS,Parakou,December,2009,35,20.3,66,22,7,ME,1,38
NGS,Parakou,December,2009,35,20.3,66,22,7,ME,2,56
NGS,Parakou,December,2009,35,20.3,66,22,7,ME,3,38
SGS,Alafiarou1,December,2009,35,20.3,66,22,0,ME,1,98
SGS,Alafiarou1,December,2009,35,20.3,66,22,0,ME,2,47
SGS,Alafiarou1,December,2009,35,20.3,66,22,0,ME,3,38
SGS,Alafiarou2,December,2009,35,20.3,66,22,0,ME,1,134
SGS,Alafiarou2,December,2009,35,20.3,66,22,0,ME,2,101
SGS,Alafiarou2,December,2009,35,20.3,66,22,0,ME,3,87
SGS,Bassila,December,2009,35,20.3,66,22,0,ME,1,173
SGS,Tchourou1,December,2009,35,20.3,66,22,0,ME,1,97
SGS,Tchourou1,December,2009,35,20.3,66,22,0,ME,2,102
SGS,Tchourou1,December,2009,35,20.3,66,22,0,ME,3,134
SGS,Tchourou2,December,2009,35,20.3,66,22,0,ME,1,42
SGS,Tchourou2,December,2009,35,20.3,66,22,0,ME,2,14
SGS,Tchourou2,December,2009,35,20.3,66,22,0,ME,3,156
NGS,Ndali,December,2008,36,21,65.6,24.6,30.2,ME,1,441
NGS,Ndali,December,2008,36,21,65.6,24.6,30.2,ME,2,78
NGS,Ndali,December,2008,36,21,65.6,24.6,30.2,ME,3,201
NGS,Parakou,December,2008,36,21,65.6,24.6,30.2,ME,1,216
NGS,Parakou,December,2008,36,21,65.6,24.6,30.2,ME,2,141
SGS,Bassila,December,2008,36,21,65.6,24.6,0,ME,1,345
SGS,Bassila,September,2009,36,21,65.6,24.6,0,ME,2,383
NGS,Ndali,December,2005,37.2,21,65,21,0,ME,1,170
SGS,Bassila,December,2005,37.2,21,65,21,0,ME,1,198
SGS,Bassila,September,2006,37.2,21,65,21,0,ME,2,714
SGS,Bassila,November,2007,37.2,21,65,21,0,ME,3,1443
NGS,Natitingou,February,2009,38.5,21.8,64,35,10.5,ME,1,27
NGS,Natitingou,February,2009,38.5,21.8,64,35,10.5,ME,2,8
NGS,Natitingou,February,2009,38.5,21.8,64,35,10.5,ME,3,5
NGS,Ndali,November,2006,36.1,20.5,64,24,0,ME,1,315
NGS,Ndali,December,2007,36.5,20.6,64,21.3,5.4,ME,1,81
NGS,Ndali,November,2006,36.1,20.5,64,24,0,ME,2,217
NGS,Ndali,December,2007,36.5,20.6,64,21.3,5.4,ME,2,76
NGS,Ndali,December,2007,36.5,20.6,64,21.3,5.4,ME,3,80
NGS,Papatia,February,2009,38.5,21.8,64,35,10.5,ME,1,2
NGS,Papatia,February,2009,38.5,21.8,64,35,10.5,ME,2,1
NGS,Parakou,December,2007,36.5,20.6,64,21.3,5.4,ME,1,62
NGS,Parakou,December,2007,36.5,20.6,64,21.3,5.4,ME,2,37
SGS,Bassila,November,2006,36.1,20.5,64,24,9.4,ME,1,130
SGS,Bassila,December,2007,36.5,20.6,64,21.3,0,ME,1,146
SGS,Bassila,August,2007,36.1,20.5,64,24,9.4,ME,2,5682
SGS,Bassila,September,2008,36.5,20.6,64,21.3,0,ME,2,1630
SGS,Bassila,October,2008,36.1,20.5,64,24,9.4,ME,3,478
SGS,Bassila,November,2009,36.5,20.6,64,21.3,0,ME,3,46
NGS,Ndali,February,2007,38.8,22.6,63,17,0,ME,1,0
NGS,Ndali,February,2007,38.8,22.6,63,17,0,ME,2,0
SGS,Bassila,February,2007,38.8,22.6,63,17,0,ME,1,81
SGS,Bassila,November,2007,38.8,22.6,63,17,0,ME,2,1409
SGS,Bassila,January,2009,38.8,22.6,63,17,0,ME,3,82
SGS,Akofodjoule,January,2008,35.6,20.1,62.8,22.8,0,ME,1,70
SGS,Akofodjoule,January,2008,35.6,20.1,62.8,22.8,0,ME,2,41
NGS,Natitingou,January,2010,37.3,18.5,62,30,0,ME,1,3
NGS,Natitingou,January,2010,37.3,18.5,62,30,0,ME,2,0
NGS,Natitingou,January,2010,37.3,18.5,62,30,0,ME,3,2
NGS,Papatia,January,2010,37.3,18.5,62,30,0,ME,1,16
NGS,Papatia,January,2010,37.3,18.5,62,30,0,ME,2,5
NGS,Papatia,January,2010,37.3,18.5,62,30,0,ME,3,15
SGS,Akofodjoule,January,2005,35.8,20.7,62,25,0,ME,1,163
NGS,Ndali,March,2007,39.8,24.1,61,20,0,ME,1,0
NGS,Ndali,March,2007,39.8,24.1,61,20,0,ME,2,0
SGS,Bassila,March,2007,39.8,24.1,61,20,0,ME,1,512
SGS,Bassila,December,2007,39.8,24.1,61,20,0,ME,2,93
SGS,Bassila,February,2009,39.8,24.1,61,20,0,ME,3,148
NGS,Natitingou,November,2007,35.3,19.9,60,35,12.1,ME,1,707
NGS,Natitingou,November,2007,35.3,19.9,60,35,12.1,ME,2,292
NGS,Natitingou,November,2007,35.3,19.9,60,35,12.1,ME,3,281
NGS,Ndali,January,2010,36.7,20.6,60,17,0,ME,1,54
NGS,Ndali,January,2010,36.7,20.6,60,17,0,ME,2,44
NGS,Ndali,January,2010,36.7,20.6,60,17,0,ME,3,141
NGS,Papatia,November,2007,35.3,19.9,60,35,12.1,ME,1,146
NGS,Papatia,November,2007,35.3,19.9,60,35,12.1,ME,2,153
NGS,Parakou,January,2010,36.7,20.6,60,17,0,ME,1,22
NGS,Parakou,January,2010,36.7,20.6,60,17,0,ME,2,20
NGS,Parakou,January,2010,36.7,20.6,60,17,0,ME,3,66
SGS,Alafiarou1,January,2010,36.7,20.6,60,17,0,ME,1,25
SGS,Alafiarou1,January,2010,36.7,20.6,60,17,0,ME,2,24
SGS,Alafiarou1,January,2010,36.7,20.6,60,17,0,ME,3,16
SGS,Alafiarou2,January,2010,36.7,20.6,60,17,0,ME,1,29
SGS,Alafiarou2,January,2010,36.7,20.6,60,17,0,ME,2,25
SGS,Alafiarou2,January,2010,36.7,20.6,60,17,0,ME,3,59
SGS,Bassila,January,2010,36.7,20.6,60,17,0,ME,1,136
SGS,Tchourou1,January,2010,36.7,20.6,60,17,0,ME,1,8
SGS,Tchourou1,January,2010,36.7,20.6,60,17,0,ME,2,25
SGS,Tchourou1,January,2010,36.7,20.6,60,17,0,ME,3,23
SGS,Tchourou2,January,2010,36.7,20.6,60,17,0,ME,1,42
SGS,Tchourou2,January,2010,36.7,20.6,60,17,0,ME,2,23
SGS,Tchourou2,January,2010,36.7,20.6,60,17,0,ME,3,35
NGS,Natitingou,January,2009,35.5,18.9,59,47,0,ME,1,34
